country,latitude,longitude,year,t2m_celsius,source
Algeria,28.0,3.0,201711,16.65,NASA POWER
Algeria,28.0,3.0,201712,10.89,NASA POWER
Algeria,28.0,3.0,201713,23.63,NASA POWER
Algeria,28.0,3.0,201801,12.44,NASA POWER
Algeria,28.0,3.0,201802,13.37,NASA POWER
Algeria,28.0,3.0,201803,19.57,NASA POWER
Algeria,28.0,3.0,201804,24.41,NASA POWER
Algeria,28.0,3.0,201805,28.95,NASA POWER
Algeria,28.0,3.0,201806,33.75,NASA POWER
Algeria,28.0,3.0,201807,37.57,NASA POWER
Algeria,28.0,3.0,201808,34.35,NASA POWER
Algeria,28.0,3.0,201809,31.46,NASA POWER
Algeria,28.0,3.0,201810,23.84,NASA POWER
Algeria,28.0,3.0,201811,17.68,NASA POWER
Algeria,28.0,3.0,201812,12.47,NASA POWER
Algeria,28.0,3.0,201813,24.21,NASA POWER
Algeria,28.0,3.0,201901,10.23,NASA POWER
Algeria,28.0,3.0,201902,11.55,NASA POWER
Algeria,28.0,3.0,201903,17.81,NASA POWER
Algeria,28.0,3.0,201904,22.16,NASA POWER
Algeria,28.0,3.0,201905,28.44,NASA POWER
Algeria,28.0,3.0,201906,34.09,NASA POWER
Algeria,28.0,3.0,201907,36.13,NASA POWER
Algeria,28.0,3.0,201908,35.91,NASA POWER
Algeria,28.0,3.0,201909,32.55,NASA POWER
Algeria,28.0,3.0,201910,24.54,NASA POWER
Algeria,28.0,3.0,201911,17.09,NASA POWER
Algeria,28.0,3.0,201912,14.18,NASA POWER
Algeria,28.0,3.0,201913,23.79,NASA POWER
Algeria,28.0,3.0,202001,10.93,NASA POWER
Algeria,28.0,3.0,202002,15.87,NASA POWER
Algeria,28.0,3.0,202003,19.39,NASA POWER
Algeria,28.0,3.0,202004,24.81,NASA POWER
Algeria,28.0,3.0,202005,29.85,NASA POWER
Algeria,28.0,3.0,202006,33.84,NASA POWER
Algeria,28.0,3.0,202007,35.42,NASA POWER
Algeria,28.0,3.0,202008,35.05,NASA POWER
Algeria,28.0,3.0,202009,32.44,NASA POWER
Algeria,28.0,3.0,202010,25.94,NASA POWER
Algeria,28.0,3.0,202011,17.99,NASA POWER
Algeria,28.0,3.0,202012,13.7,NASA POWER
Algeria,28.0,3.0,202013,24.62,NASA POWER
Algeria,28.0,3.0,202101,13.76,NASA POWER
Algeria,28.0,3.0,202102,16.03,NASA POWER
Algeria,28.0,3.0,202103,17.64,NASA POWER
Algeria,28.0,3.0,202104,25.98,NASA POWER
Algeria,28.0,3.0,202105,31.67,NASA POWER
Algeria,28.0,3.0,202106,36.11,NASA POWER
Algeria,28.0,3.0,202107,36.65,NASA POWER
Algeria,28.0,3.0,202108,35.96,NASA POWER
Algeria,28.0,3.0,202109,33.73,NASA POWER
Algeria,28.0,3.0,202110,25.01,NASA POWER
Algeria,28.0,3.0,202111,18.17,NASA POWER
Algeria,28.0,3.0,202112,13.64,NASA POWER
Algeria,28.0,3.0,202113,25.4,NASA POWER
Algeria,28.0,3.0,202201,10.6,NASA POWER
Algeria,28.0,3.0,202202,15.19,NASA POWER
Algeria,28.0,3.0,202203,18.68,NASA POWER
Algeria,28.0,3.0,202204,23.7,NASA POWER
Algeria,28.0,3.0,202205,27.73,NASA POWER
Algeria,28.0,3.0,202206,35.2,NASA POWER
Algeria,28.0,3.0,202207,34.82,NASA POWER
Algeria,28.0,3.0,202208,35.51,NASA POWER
Algeria,28.0,3.0,202209,33.66,NASA POWER
Algeria,28.0,3.0,202210,26.36,NASA POWER
Algeria,28.0,3.0,202211,18.37,NASA POWER
Algeria,28.0,3.0,202212,17.15,NASA POWER
Algeria,28.0,3.0,202213,24.79,NASA POWER
Algeria,28.0,3.0,202301,11.6,NASA POWER
Algeria,28.0,3.0,202302,13.88,NASA POWER
